county week total.cases
ThurstonCounty 2020-07-12 96
WahkiakumCounty 2020-07-12 0
WallaWallaCounty 2020-07-12 55
WhatcomCounty 2020-07-12 75
WhitmanCounty 2020-07-12 16
YakimaCounty 2020-07-12 512
AdamsCounty 2020-07-19 52
AsotinCounty 2020-07-19 2
BentonCounty 2020-07-19 388
ChelanCounty 2020-07-19 208
ClallamCounty 2020-07-19 12
ClarkCounty 2020-07-19 172
ColumbiaCounty 2020-07-19 2
CowlitzCounty 2020-07-19 46
DouglasCounty 2020-07-19 137
FerryCounty 2020-07-19 3
FranklinCounty 2020-07-19 283
GarfieldCounty 2020-07-19 0
GrantCounty 2020-07-19 176
GraysHarborCounty 2020-07-19 23
IslandCounty 2020-07-19 17
JeffersonCounty 2020-07-19 0
KingCounty 2020-07-19 1171
KitsapCounty 2020-07-19 122
KittitasCounty 2020-07-19 52
KlickitatCounty 2020-07-19 13
LewisCounty 2020-07-19 34
LincolnCounty 2020-07-19 5
MasonCounty 2020-07-19 48
OkanoganCounty 2020-07-19 174
PacificCounty 2020-07-19 6
PendOreilleCounty 2020-07-19 11
PierceCounty 2020-07-19 745
SanJuanCounty 2020-07-19 3
SkagitCounty 2020-07-19 62
SkamaniaCounty 2020-07-19 4
SnohomishCounty 2020-07-19 351
SpokaneCounty 2020-07-19 585
StevensCounty 2020-07-19 15
ThurstonCounty 2020-07-19 79
WahkiakumCounty 2020-07-19 0
WallaWallaCounty 2020-07-19 76
WhatcomCounty 2020-07-19 69
WhitmanCounty 2020-07-19 16
YakimaCounty 2020-07-19 458
AdamsCounty 2020-07-26 34
AsotinCounty 2020-07-26 2
BentonCounty 2020-07-26 220
ChelanCounty 2020-07-26 234
ClallamCounty 2020-07-26 15
ClarkCounty 2020-07-26 182
ColumbiaCounty 2020-07-26 1
CowlitzCounty 2020-07-26 27
DouglasCounty 2020-07-26 154
FerryCounty 2020-07-26 9
FranklinCounty 2020-07-26 207
GarfieldCounty 2020-07-26 1
GrantCounty 2020-07-26 167
GraysHarborCounty 2020-07-26 16
IslandCounty 2020-07-26 7
JeffersonCounty 2020-07-26 3
KingCounty 2020-07-26 1092
KitsapCounty 2020-07-26 120
KittitasCounty 2020-07-26 29
KlickitatCounty 2020-07-26 7
LewisCounty 2020-07-26 25
LincolnCounty 2020-07-26 6
MasonCounty 2020-07-26 47
OkanoganCounty 2020-07-26 127
PacificCounty 2020-07-26 11
PendOreilleCounty 2020-07-26 3
PierceCounty 2020-07-26 610
SanJuanCounty 2020-07-26 0
SkagitCounty 2020-07-26 80
SkamaniaCounty 2020-07-26 6
SnohomishCounty 2020-07-26 366
SpokaneCounty 2020-07-26 594
StevensCounty 2020-07-26 24
ThurstonCounty 2020-07-26 84
WahkiakumCounty 2020-07-26 0
WallaWallaCounty 2020-07-26 101
WhatcomCounty 2020-07-26 72
WhitmanCounty 2020-07-26 12
YakimaCounty 2020-07-26 365
AdamsCounty 2020-08-02 56
AsotinCounty 2020-08-02 5
BentonCounty 2020-08-02 165
ChelanCounty 2020-08-02 176
ClallamCounty 2020-08-02 26
ClarkCounty 2020-08-02 192
ColumbiaCounty 2020-08-02 0
CowlitzCounty 2020-08-02 41
DouglasCounty 2020-08-02 114
FerryCounty 2020-08-02 3
FranklinCounty 2020-08-02 193
GarfieldCounty 2020-08-02 1
GrantCounty 2020-08-02 208
GraysHarborCounty 2020-08-02 19
IslandCounty 2020-08-02 5
JeffersonCounty 2020-08-02 2
KingCounty 2020-08-02 1001
KitsapCounty 2020-08-02 73
KittitasCounty 2020-08-02 29
KlickitatCounty 2020-08-02 13
LewisCounty 2020-08-02 40
LincolnCounty 2020-08-02 10
MasonCounty 2020-08-02 55
OkanoganCounty 2020-08-02 83
PacificCounty 2020-08-02 13
PendOreilleCounty 2020-08-02 7
