"","week","Cluster Number","Cluster Size","Location IDs included","Overlap with clusters","Coordinates / radius","Gini Cluster","Population","Number of cases","Expected cases","Annual cases / 100000","Observed / expected","Relative risk","Log likelihood ratio","P-value"
"103",2020-04-12,"2",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","4, 6, 7","(1.23248e+006,625805) / 253694.22","No","3800478","423","1093.49","580.7","0.39","0.24","441.249888","< 0.00000000000000001"
"104",2020-04-12,"3",12,"OkanoganCounty, DouglasCounty, FerryCounty, ChelanCounty, StevensCounty, LincolnCounty, GrantCounty, SkagitCounty, SnohomishCounty, WhatcomCounty, KittitasCounty, PendOreilleCounty","5, 8, 9, 10","(1.82458e+006,1.17369e+006) / 597787.66","No","1567088","142","450.89","472.8","0.31","0.27","170.748783","< 0.00000000000000001"
"105",2020-04-12,"4",8,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty","2","(812614,677769) / 353880.74","Yes","840349","36","241.79","223.5","0.15","0.13","147.726076","< 0.00000000000000001"
"106",2020-04-12,"5",1,"SnohomishCounty","3","(1.34135e+006,991759) / 0","Yes","822083","67","236.53","425.2","0.28","0.26","92.169548","< 0.00000000000000001"
"107",2020-04-12,"6",1,"PierceCounty","2","(1.23248e+006,625805) / 0","Yes","904980","101","260.39","582.3","0.39","0.36","70.139757","< 0.00000000000000001"
"108",2020-04-12,"7",4,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty","2","(1.28088e+006,254383) / 236156.57","Yes","691624","76","199.00","573.4","0.38","0.36","53.564788","< 0.00000000000000001"
"109",2020-04-12,"8",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","3","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","27","108.19","374.6","0.25","0.24","45.278509","< 0.00000000000000001"
"110",2020-04-12,"9",3,"PendOreilleCounty, StevensCounty, FerryCounty","3","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","2","19.30","155.6","0.10","0.10","12.833823","0.000064"
"111",2020-04-12,"10",3,"ChelanCounty, DouglasCounty, KittitasCounty","3","(1.61141e+006,924343) / 271648.09","Yes","168564","21","48.50","650.0","0.43","0.43","10.097977","0.0010"
"112",2020-04-19,"1",6,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty, KlickitatCounty, GrantCounty","2, 4, 8","(1.89069e+006,331893) / 352304.25","No","731403","1520","228.79","10843.5","6.64","16.60","2089.246226","< 0.00000000000000001"
"113",2020-04-19,"2",1,"YakimaCounty","1","(1.58048e+006,409697) / 0","Yes","250873","946","78.48","19675.3","12.05","19.34","1676.406785","< 0.00000000000000001"
